ANNEE,NSEM,DEBUT,REGION,DISTRICT,POP,Méningite Cas,Méningite Décès,Méningite Létalité (%),Méningite Tx Attaque ,Rougeole Cas,Rougeole Décès,Rougeole Létalité (%),Diarrhée sanguinolente Cas,Diarrhée sanguinolente Décès,"Diarrhée sanguinolente Létalité
 (%)",Choléra Cas,Choléra Décès,"Choléra Létalité 
(%)",Ictère Fébrile Cas,Ictère Fébrile Décès,"Ictère Fébrile Létalité 
(%)",Paralysies Flasques Aiguës Cas,Paralysies Flasques Aiguës Décès,"Paralysies Flasques Aiguës Létalité
 (%)",Tétanos Neo natal Cas,Tétanos Neo natal Décès,"Tétanos Neo natal Létalité 
(%)",Ver de Guinée Notifié,Ver de Guinée Isolé,Syndromes Grippaux cas,Infection Respiratoire Aigüe Sévère cas,Infection Respiratoire Aigüe Sévère décès,Infection Respiratoire Aigüe Sévère Létalité (%),Palu Simple Cas,Paludisme Grave Cas,Paludisme Grave Décès,"Paludisme Grave Létalité
 (%)",Dengue Cas,Dengue Probables,Dengue Décès,"Dengue Létalité
(%)",Décès maternel Institution,Décès maternel Communauté,Décès néonatal Institution,Décès néonatal Communauté,Covid-19  Cas ,Covid-19  décès ,"Covid-19  Létalité
 (%)",Charbon  Cas ,Charbon  décès ,"Charbon  Létalité
 (%)", Grippe humaine due à un nouveau sous type  Cas, Grippe humaine due à un nouveau sous type  décès ," Grippe humaine due à un nouveau sous type  Létalité
 (%)",Maladie à virus Ebola Cas,Maladie à virus Ebola décès ,"Maladie à virus Ebola Létalité
 (%)",Fièvre de Lassa Cas,Fièvre de Lassa décès ,"Fièvre de Lassa Létalité
 (%)",Maladie à virus Zika Cas ,Maladie à virus Zika décès,"Maladie à virus Zika Létalité
 (%)",Fièvre de la Vallé du Rift Cas ,Fièvre de la Vallé du Rift décès ,"Fièvre de la Vallé du Rift Létalité
 (%)",Transmission FS Publiques TLOH Attendus,Transmission FS Publiques TLOH Reçus,Transmission FS Publiques TLOH Reçus à Temps,"Taux Publique Complétude
(%)","Taux Publique Promptitude
(%)",Transmission FS Privées TLOH Attendus,Transmission FS Privées TLOH Reçus,Transmission FS Privées TLOH Reçus à Temps,"Taux Privé Complétude
(%)","Taux Privé Promptitude
(%)"
2020,1,30-Dec-2019,Centre-Nord ,Tougouri,254419,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1856,43,0,0.0%,0,0,0,0.0%,0,1,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,23,23,23,100%,100%,2,2,2,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Koudougou,415873,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,5,1,20.0%,3483,143,1,0.7%,11,4,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,64,64,64,100%,100%,12,11,11,92%,92%
2020,1,30-Dec-2019,Centre-Ouest ,Léo,316900,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,3168,54,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,44,44,44,100%,100%,3,3,3,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Nanoro,185160,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1748,65,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,25,25,25,100%,100%,2,2,2,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Réo,220400,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,2032,51,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,21,21,21,100%,100%,2,2,2,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Sabou ,118556,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1218,27,0,0.0%,3,2,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,21,21,21,100%,100%,1,1,1,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Sapouy,279317,0,0,0.0%,0.0,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1974,58,0,0.0%,1,1,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,31,31,31,100%,100%,1,1,1,100%,100%
2020,1,30-Dec-2019,Centre-Ouest ,Tenado,200991,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1997,62,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,25,25,25,100%,100%,0,0,0,0%,0%
2020,1,30-Dec-2019,Centre-Sud ,Kombissiri,209756,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0,0.0%,1199,32,0,0.0%,0,0,0,0.0%,0,0,1,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,35,35,35,100%,100%,0,0,0,0%,0%
2020,1,30-Dec-2019,Centre-Sud ,Manga,357923,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,2448,57,1,1.8%,1,1,0,0.0%,0,0,0,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,47,47,47,100%,100%,2,2,2,100%,100%
